"Parameter","Estimate","Posterior_SD","Lower95","Upper95","Rhat","ESS","Replicate","N","N_long","N12","N13","N23","Max_Rhat","Min_ESS","Fit_Status"
"lambda012",0.0850912807937173,0.00646101121967311,0.0729307425919678,0.0982377092168042,1.00183604509397,10688.5257206523,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"lambda013",0.0464880472630216,0.00527899316023744,0.0366973415750133,0.0573785274939427,1.00097819971428,8702.22262431002,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"lambda023",0.11244513840843,0.0117751292438547,0.0902057774369339,0.136650397748316,1.00105131391422,10043.0559747506,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"gamma12",-0.483150881943618,0.0745701978719291,-0.630104096719593,-0.338406964886227,1.00016496316439,15368.3084364803,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"gamma13",0.873215189814704,0.0998778454356035,0.681068170073985,1.07258727658983,1.00092447300743,8853.54447944653,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"gamma23",0.412715172129415,0.11384704777387,0.192499055312579,0.63824113950912,1.00028672792103,22257.4956076211,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"alpha0_12",0.494363420564345,0.152320145909406,0.207865298239528,0.80968517527249,1.00032015586828,3001.59483560305,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"alpha0_13",0.905294567816909,0.231531120160564,0.475638193634333,1.37879008867718,1.00359962407179,1888.35635521769,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"alpha0_23",0.474054828898841,0.226117537393767,0.0401681561813592,0.932157048294752,1.00003224380929,3303.84471074212,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"alpha1_12",0.12041545964061,0.183095019527251,-0.252514436161111,0.469540376366995,1.0007150445432,3529.91910724263,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"alpha1_13",0.2564802242337,0.312719130942182,-0.388901998412944,0.831793265167081,1.01615575887609,1540.76543995406,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"alpha1_23",0.299055928439286,0.22546481002295,-0.162089352100098,0.726335373703943,1.00091231743766,4305.63631252944,2,500,2150,238,166,130,1.0532144208533,89.6350260902975,"success"
"beta0_y",1.93308876388452,0.0686506920165787,1.79755454504684,2.06885151741022,1.00022109740585,2212.35840405514,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"beta1_y",0.547144039031031,0.0393156841208252,0.473316652655968,0.630627282502689,1.00986649211456,83.5203626649781,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"beta2_y",1.13275882299912,0.0619335514193737,1.01379016875307,1.25560987310591,1.0002757887904,1282.64948885664,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"sigma_b0",0.95366992362769,0.0662452829027596,0.82799464290349,1.08615767106235,1.00014326989654,1945.89007573037,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"sigma_b1",0.64328533740162,0.0280571688984515,0.590946225876394,0.701056308661708,1.00048050783101,5369.79009845588,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"rho",0.329844573181023,0.077211778562097,0.175735515626767,0.478189033638917,1.00033407041354,2506.91653212211,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"sigma_y",0.979810022979346,0.0181552415957013,0.945054145286715,1.01607867726668,0.999990223046408,13395.1304069004,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"lambda012",0.075808367018094,0.00583246924384424,0.0649553913989793,0.0876815258938941,1.00023330180947,15142.6526386626,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"lambda013",0.0459564717159846,0.00531301479841085,0.0359733770420305,0.0567800885425398,1.00079775986135,7815.81426354842,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"lambda023",0.109465242940205,0.0109759574001944,0.0889913242617363,0.131951023200115,1.00061521833598,12162.3408286573,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"gamma12",-0.428651500674517,0.0691621645401225,-0.565185035304293,-0.294265904379537,0.999993710450412,28293.676557917,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"gamma13",0.75650201461681,0.101846850679705,0.561307677721789,0.961571986509494,1.00025434013801,6053.26896391647,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"gamma23",0.381680535513588,0.100779944952825,0.186663300473797,0.581662513991082,1.00002081505563,33959.1211659218,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
